uuid,planting_status
fdec5af6-17f1-4c86-9e5f-3743609f1207,completed
9b2bf6dd-a175-43a0-80b4-c19dbf09e2eb,in-progress
74cc68d8-786c-46f1-b4a9-864fb3bfbb9a,in-progress
270afe0a-800d-40ca-9397-473ff45eeff8,not-started
07c659ad-6b92-44f9-9da9-481914e787d2,in-progress
dd5bee11-82fe-4611-afb0-b213e432b16f,in-progress
7a7ceeb6-a43d-454e-bbd5-7d728adf3dcd,in-progress
5cd84135-cc22-4b39-910e-2cf8f9a2490e,in-progress
70f64bfd-f0a2-4377-bf66-0d23afed95bd,in-progress
f4fa80c5-a024-4c32-bd15-aa4d63f9f09e,in-progress
1afc39fe-9ca6-4fb1-afdf-64cfb4ed6ae4,no-restoration-expected
9e6a4cfb-af2c-4c08-b536-012562dbf82e,in-progress
7a4cac3d-d992-41f0-9057-1c16890b1c0d,in-progress
2e4af032-1ebf-4e8f-9021-666b18dfcab2,completed
1bbcda9e-052f-4b0d-97cb-dec175f390a7,completed
73262c21-f761-4399-9a54-0057c31e7b2a,completed
9beb2ca9-87f9-415c-85bc-93804f3bdee1,completed
bb43b4cb-e795-4f99-9d51-3f0a95657b8d,not-started
61ea92b6-9c50-4012-acea-0822f53c91d4,in-progress
a4e5cd7f-9c8e-431d-a3be-544a3b46bb85,in-progress
0c516dc0-04e0-4a0d-9e17-b9f30c0a1047,in-progress
9f9a8525-ab3d-4619-9869-a2ef07997707,in-progress
15319d22-21e3-45a8-b64d-f7b74d1b0034,in-progress
0ac4c54f-c254-4162-873b-208a69aad4e7,in-progress
8e4f0391-dad1-448b-a5b4-4427b8147da2,in-progress
78b843aa-4030-422a-aef2-4e2bd2420280,replacement-planting
0f7e5a0d-519e-4063-aa8d-4dcba3a7a575,not-started
710fa942-4ecd-402a-a77d-6d004c3931bb,in-progress
225c3713-84c3-4ff8-ad4d-7b8130c57a7c,in-progress
cf92e843-e93c-407f-960e-4c6d1aabdd8f,not-started
d786b9cb-7c49-4d95-a880-8a27f83cb69e,not-started
ec2f1630-6819-4151-aee3-ce3cc2aef12c,not-started
82023eec-0964-4f1c-b5b1-165a0deefb0d,in-progress
c568f9df-a477-4433-be14-5f23eb4ef5ac,completed
683120c8-e33d-4380-91de-e30290f510c7,completed
0a32d83c-3acf-40a5-a732-0e0add040eeb,completed
15d244b0-f1f4-4672-8d0a-68b6a107337f,in-progress
489b3e3d-12d8-4efa-9a90-bbb81d7a28f9,in-progress
56dfaff7-39c1-41ba-9dc7-02a5122aa0d3,in-progress
0a5675eb-5266-47e0-aef6-8a1bbae60fa3,in-progress
5a479cf0-8fad-4d6c-a62a-86bf764b121e,in-progress
87a0cb16-4495-4707-8d32-d45ab04cc050,completed
cd8bd893-ea8d-4163-bdfd-03d17c7e1310,not-started
97e9a6ad-eed9-4698-8581-92b3a8089ea8,in-progress
a7a240af-1f43-4797-a8e6-422ae5f7a4b3,not-started
d461b3c1-d7b7-4bf2-b112-650b00e206d7,in-progress
f839e5d7-7b2c-48b7-88c1-524e08fa8623,in-progress
d5d33ac1-ad9f-460a-963e-32933cf016bc,in-progress
d7b91606-995b-45d6-aace-fa412883e1a4,in-progress
ff73b443-25bf-4721-9a55-7ce183fc51d1,in-progress
05021b0d-b0fd-49bf-be33-6f3d41c99ed2,in-progress
3b5b49d2-971e-4964-92ba-687ba7355ea9,completed
1ee1db7a-3107-4c91-b86e-d8ce6cd3b49d,in-progress
22e276ef-8c6b-4523-b2fb-e5b7f80fe495,in-progress
8e336819-7d99-4ba0-b30a-23ecae4d5d2d,completed
86237fc0-a288-4bba-ae1a-78a80c91091e,completed
676dd3a7-30b3-4338-aceb-9fbace3b0ebb,completed
b3bbba55-853b-4bdb-b205-3222d6124126,in-progress
5cbccb69-ff24-434d-9bf0-b3aa46164454,in-progress
3c5b9e1c-9b27-4952-a0fb-6b84d6ce654d,completed
8d68452d-9a1e-442b-b4e8-33615841afa4,in-progress
02959f5f-161f-4196-b26f-3cf863e16f0d,in-progress
138f4efe-63f8-4dd0-a3da-c55e94e15476,in-progress
7a48c358-429e-4da5-aeea-e92762a0b55c,in-progress
f4a78c29-d797-48c3-a344-6ddebc114e47,not-started
a973f25c-0d06-490e-8fff-88228a5dbff9,in-progress
c6df43a6-c533-4964-b5f9-71f890aaea31,in-progress
18c281e9-1ec8-4ec9-bd8e-b8c974184885,in-progress
7b231b2a-3fe2-47bf-a587-76f53a774658,in-progress
2548be22-9378-4cf3-8e66-45a625254e2b,completed
ff87280c-1d44-4f5f-ad7e-f41f0ef6e6a3,in-progress
0b60ed49-7ac8-4aff-b6a7-494c08103339,in-progress
551e34e4-4ac1-423a-b850-3183d1dcecea,in-progress
e40abc10-fd8b-48b8-a467-f8406e67c3d1,completed
