uuid,planting_status
10549380-6a7a-4e6b-9644-a4e13318b46f,in-progress
3d52ebdf-4d00-42f4-a568-b7248167cc49,in-progress
00d7a93e-245d-41a6-8f51-b770ab28b0e5,in-progress
08f6a238-38dd-411f-8c6d-4ea6e5771131,in-progress
7724371f-1f8c-4436-aab2-f9aaf6d4e02e,in-progress
30a7b58a-d4c8-4752-9e64-df038d0afb78,in-progress
0d05687e-8fa1-49ac-a8b9-3f00d6574751,in-progress
da353255-bdea-4f69-b19c-f7177cc7d004,in-progress
5d2172b2-cbff-46a1-9695-ad43c8bf1a63,in-progress
9b2d0320-ec94-490e-a08c-ab13278686da,no-restoration-expected
10506d5f-bc50-426a-8bf0-5864e0ab26bb,completed
b1dcc356-7754-488c-9d31-f4a2fbfcf49f,completed
811f0261-9094-4883-b00f-1eabd5fa76b6,completed
986a0e7a-05b6-4f9e-9deb-b6dcc476a0f7,completed
1ca6623c-df9e-4118-8dff-f296d9ae88fe,completed
f41c45de-d22a-4440-803e-8192bd778a2b,completed
d005729e-4edd-4815-b11e-e6dc37118f55,completed
3216a9e8-0371-4bda-9cb8-e6947c3048b3,completed
a721fbc8-2141-4f0b-b1c1-812e851267b6,completed
806d84e4-136e-4ff4-9752-33a9e89486f0,completed
5da8c158-dcde-4608-b13f-297474b0d63e,completed
4953abcd-6d3a-45eb-af53-0b06e596a782,completed
84522710-d9a3-477a-922b-005c068eeabc,completed
8614df8b-1fc8-488e-bf16-77dfe579c061,no-restoration-expected
60aa51dc-65f1-4b1d-be97-a7e962201819,in-progress
1373d39d-7cca-4382-8518-b57a06df9a02,in-progress
990421d0-2287-4a8c-824a-cbf732199c33,in-progress
1e487ff2-106c-4d8c-bce2-a842ed198eaf,in-progress
2dcc7963-49b3-4954-95b5-1e6410b5b979,in-progress
57302fe4-0a08-444a-b438-0a9c93466e6a,in-progress
dd7c5592-e549-4fc3-89be-19f8080d0e68,completed
cf3eb02b-3801-4873-ad4c-d7d2a8ec5da9,completed
9d0e5c0a-aba6-435f-b77c-6ca0d8f6b791,completed
f3eac758-bb50-43b7-9cab-a8a32ed4b24a,completed
49f78b5d-7448-472e-b960-60ab7e7af756,completed
f2c25b04-a578-495b-b9a5-bac5eaff5169,completed
400faecf-bd33-479f-8309-9d43b4009217,completed
0045c26f-8ab0-4746-ad03-9c3b6a64ce5b,completed
b54834aa-c8d9-48b7-9596-67897ecdebd1,completed
07840e21-b001-41f1-b467-c5973b6cdbfe,completed
cee42aef-211b-4ced-8e8c-47714b157216,completed
958f33a6-4c47-4127-b697-b6ceb5fe1f4e,completed
c9ffae6a-7331-47c1-9b48-f97ae0be1f99,completed
8cc2372b-4b76-4124-bfbc-47416bf74901,completed
273762c6-4b17-47ec-8163-2ce2eabc6d61,completed
de86f01e-a20a-43aa-9ce3-c8604fbfcefe,no-restoration-expected
7d443c31-9740-42f2-80f0-2a7dd12805a5,no-restoration-expected
defcd133-b18e-4983-b9a0-f668034d1d19,completed
c592f1c1-10a5-45ae-a5f8-34780648ed6c,no-restoration-expected
cfa66b62-4b98-47b0-992e-711d6eb6e5a6,no-restoration-expected
928f2cae-aa61-4974-80f6-18a7594bea54,no-restoration-expected
77c1b42e-59fa-485e-8542-c2504f1ebe80,no-restoration-expected
99ba6cd1-71df-4caa-b3b7-81b3fb4748b1,completed
a56e99e1-bc28-4fd5-9acc-0dd2c0efdd75,completed
7edf09b9-cb10-43fb-88fb-edaba703750e,completed
72df87e8-816b-4e5f-8ae2-e714cff273e9,completed
b27424c1-df48-4afa-80fe-60bd88633254,completed
01f3e299-0df8-4039-9427-74437e912e36,in-progress
4d140851-9ff2-43ff-8a24-c4bf0716ce87,in-progress
2722e5f4-746e-4b58-bf94-ca6344cc8bad,in-progress
12aaab01-8af4-45f5-a0fb-2b52020fa3b9,in-progress
22a65e68-0d77-4e3f-aedf-53f0c5f252fe,in-progress
fad7ce1d-22c1-4929-bd0d-ded3454353d4,in-progress
941aa952-464c-4eb5-acbf-76338255fa17,in-progress
02d6725c-8e97-4ae7-8d3e-b0e0c6def834,in-progress
11cec39d-b9e1-4146-ae36-6a9e3cfddc10,in-progress
